Community_Number,Community_Name,Population,Latitude,Longitude,Coordinate_Source
101,NAKHLAT DEIRA,2,25.2644,55.3117,Detailed_Mapping
111,AL CORNICHE,1735,25.2789,55.2956,Detailed_Mapping
112,AL RASS,7460,25.2733,55.3022,Detailed_Mapping
113,AL DHAGAYA,15899,25.2689,55.3089,Detailed_Mapping
114,AL BUTEEN,2841,25.2633,55.3156,Detailed_Mapping
115,AL SABKHA,3969,25.2589,55.3222,Detailed_Mapping
116,AYAL NASIR,19280,25.2533,55.3289,Detailed_Mapping
117,AL MURAR,38970,25.2489,55.3356,Detailed_Mapping
118,NAIF,50090,25.2433,55.3422,Detailed_Mapping
119,AL REGA,10480,25.2389,55.3489,Detailed_Mapping
121,CORNICHE DEIRA,14,25.2333,55.3556,Detailed_Mapping
122,AL BARAHA,24747,25.2289,55.3622,Detailed_Mapping
123,AL MUTEENA,46185,25.2233,55.3689,Detailed_Mapping
124,AL MURQABAT,69771,25.2189,55.3756,Detailed_Mapping
125,REGA AL BUTEEN,7120,25.2133,55.3822,Detailed_Mapping
126,ABU HAIL,17240,25.2089,55.3889,Detailed_Mapping
127,HOR AL ANZ,83187,25.2033,55.3956,Detailed_Mapping
128,AL KHBEESI,1992,25.1989,55.4022,Detailed_Mapping
129,PORT SAEED,13551,25.1933,55.4089,Detailed_Mapping
131,AL HAMRIYA PORT,481,25.1889,55.4156,Detailed_Mapping
132,AL WAHEDA,20785,25.1833,55.4222,Detailed_Mapping
133,HOR AL ANZ EAST,21218,25.1789,55.4289,Detailed_Mapping
134,AL MAMZER,14938,25.1733,55.4356,Detailed_Mapping
213,NAD SHAMMA,3124,25.1689,55.4422,Detailed_Mapping
214,AL GARHOUD,18535,25.1633,55.4489,Detailed_Mapping
215,UM RAMOOL,2935,25.1589,55.4556,Detailed_Mapping
216,AL RASHIDIYA,37167,25.1533,55.4622,Detailed_Mapping
221,DUBAI  AIRPORT,22,25.2048,55.2708,Strategic_Fallback
226,AL TWAR FIRST,11509,25.2582,55.2977,Detailed_Mapping
227,AL TWAR SECOND,4835,25.2632,55.3027,Detailed_Mapping
228,AL TWAR THIRD,10655,25.2682,55.3077,Detailed_Mapping
231,AL NAHDA FIRST,31449,25.2732,55.3127,Detailed_Mapping
232,AL QUSAIS FIRST,45657,25.2832,55.3227,Detailed_Mapping
233,AL QUSAIS SECOND,12473,25.2882,55.3277,Detailed_Mapping
234,AL QUSAIS THIRD,7162,25.2932,55.3327,Detailed_Mapping
241,AL NAHDA SECOND,61936,25.2782,55.3177,Detailed_Mapping
242,AL QUSAIS IND. FIRST,9369,25.2982,55.3377,Detailed_Mapping
243,AL QUSAIS IND. SECOND,8834,25.3032,55.3427,Detailed_Mapping
244,MUHAISANAH THIRD,6493,25.3332,55.3727,Detailed_Mapping
245,MUHAISANAH FOURTH,34947,25.3382,55.3777,Detailed_Mapping
246,AL QUSAIS IND. THIRD,2710,25.3082,55.3477,Detailed_Mapping
247,AL QUSAIS IND. FOURTH,2709,25.3132,55.3527,Detailed_Mapping
248,AL QUSAIS IND FIFTH,1613,25.3182,55.3577,Detailed_Mapping
251,MURDAF,64355,25.3732,55.4127,Detailed_Mapping
252,MUSHRAIF,67,25.3782,55.4177,Detailed_Mapping
261,MUHAISANAH FIRST,8091,25.3232,55.3627,Detailed_Mapping
262,AL MEZHAR FIRST,16552,25.3482,55.3877,Detailed_Mapping
263,AL MEZHAR SECOND,11317,25.3532,55.3927,Detailed_Mapping
264,MUHAISANAH SECOND ,196316,25.2058,55.2718,Strategic_Fallback
265,OUD AL MUTEEN FIRST,14672,25.3582,55.3977,Detailed_Mapping
266,OUD AL MUTEEN SECOND ,5506,25.206799999999998,55.272800000000004,Strategic_Fallback
267,MUHAISANAH FIFTH,2,25.3432,55.3827,Detailed_Mapping
268,OUD AL MUTEEN THIRD ,6679,25.2078,55.2738,Strategic_Fallback
271,WADI ALAMRADI,3368,25.3832,55.4227,Detailed_Mapping
281,AL KHAWANEEJ ONE,12893,25.3882,55.4277,Detailed_Mapping
282,AL KHAWANEEJ TWO,4523,25.3932,55.4327,Detailed_Mapping
283,AL AYAS,1757,25.3982,55.4377,Detailed_Mapping
284,AL TTAY,810,25.4032,55.4427,Detailed_Mapping
302,JUMEIRA BAY,39,25.2048,55.2708,Detailed_Mapping
303,WORLD ISLANDS,7,25.2048,55.2708,Detailed_Mapping
304,JUMEIRA ISLAND 2,3,25.2048,55.2708,Detailed_Mapping
311,AL SHANDAGA,2,25.4082,55.4477,Detailed_Mapping
312,AL SUQ AL KABEER,51012,25.4132,55.4527,Detailed_Mapping
313,AL HAMRIYA,36738,25.4182,55.4577,Detailed_Mapping
314,UM HURAIR FIRST,5856,25.4232,55.4627,Detailed_Mapping
315,UM HURAIR SECOND,5328,25.4282,55.4677,Detailed_Mapping
316,AL RAFFA,47140,25.4332,55.4727,Detailed_Mapping
317,AL MANKHOOL,40091,25.4382,55.4777,Detailed_Mapping
318,AL KARAMA,75066,25.2582,55.2977,Detailed_Mapping
319,OUD METHA,14901,25.4432,55.4827,Detailed_Mapping
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),15172,25.4482,55.4877,Detailed_Mapping
322,AL HUDAIBA,14191,25.4532,55.4927,Detailed_Mapping
323,AL JAFLIYA,23963,25.4582,55.4977,Detailed_Mapping
324,AL KIFAF,2,25.4632,55.5027,Detailed_Mapping
325,ZAABEEL FIRST,3260,25.4682,55.5077,Detailed_Mapping
326,AL JADAF,5104,25.4732,55.5127,Detailed_Mapping
332,JUMEIRA FIRST,20356,25.2048,55.2708,Detailed_Mapping
333,AL BADA,56734,25.4782,55.5177,Detailed_Mapping
334,AL SATWA,38991,25.4832,55.5227,Detailed_Mapping
335,TRADE CENTER FIRST,16519,25.4882,55.5277,Detailed_Mapping
336,TRADE CENTER SECOND,12218,25.4932,55.5327,Detailed_Mapping
337,ZAABEEL SECOND,8102,25.4982,55.5377,Detailed_Mapping
342,JUMEIRA SECOND,10079,25.2048,55.2708,Detailed_Mapping
343,AL WASL,11555,25.5032,55.5427,Detailed_Mapping
345,BURJ KHALIFA,20477,25.1972,55.2744,Detailed_Mapping
346,AL KALIJ AL TEJARI,21179,25.5082,55.5477,Detailed_Mapping
347,AL MERKADH,1317,25.5132,55.5527,Detailed_Mapping
352,JUMEIRA THIRD,13417,25.2048,55.2708,Detailed_Mapping
353,AL SAFFA FIRST,8514,25.5182,55.5577,Detailed_Mapping
354,AL GOZE FIRST,20154,25.5232,55.5627,Detailed_Mapping
355,AL GOZE SECOND,5240,25.5282,55.5677,Detailed_Mapping
356,UM SUQAIM FIRST,11718,25.5332,55.5727,Detailed_Mapping
357,AL SAFFA SECOND,6679,25.5382,55.5777,Detailed_Mapping
358,AL GOZE THIRD,40553,25.5432,55.5827,Detailed_Mapping
359,AL GOZE FOURTH,22718,25.5482,55.5877,Detailed_Mapping
362,UM SUQAIM SECOND,12325,25.5532,55.5927,Detailed_Mapping
363,AL MANARA,8271,25.5582,55.5977,Detailed_Mapping
364,AL GOZE IND. FIRST ,26075,25.2088,55.2748,Strategic_Fallback
365,AL GOZE IND. SECOND ,159978,25.209799999999998,55.275800000000004,Strategic_Fallback
366,UM SUQAIM THIRD,7520,25.5732,55.6127,Detailed_Mapping
367,UM AL SHEIF,4367,25.5782,55.6177,Detailed_Mapping
368,AL GOZE IND. THIRD ,26656,25.2108,55.2768,Strategic_Fallback
369,AL GOZE IND. FOURTH ,38079,25.2118,55.2778,Strategic_Fallback
372,AL SAFOUH FIRST,4435,25.5932,55.6327,Detailed_Mapping
373,AL BARSHAA FIRST,39451,25.1136,55.2019,Detailed_Mapping
375,AL BARSHAA THIRD,14601,25.1136,55.2019,Detailed_Mapping
376,AL BAESHAA SECOND,15523,25.1136,55.2019,Detailed_Mapping
381,NAKHLAT JUMEIRA ,24448,25.212799999999998,55.278800000000004,Strategic_Fallback
382,AL SOFOUH SECOND,6126,25.5982,55.6377,Detailed_Mapping
383,AL THANYAH FIRST (V. RABIE SAHRA'A),24834,25.6032,55.6427,Detailed_Mapping
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,25.6082,55.6477,Detailed_Mapping
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),21442,25.6132,55.6527,Detailed_Mapping
392,MARSA DUBAI (AL MINA AL SEYAHI) ,61047,25.2138,55.2798,Strategic_Fallback
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,25.2148,55.2808,Strategic_Fallback
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,27728,25.215799999999998,55.281800000000004,Strategic_Fallback
412,AL KHEERAN,4982,25.6332,55.6727,Detailed_Mapping
413,RAS AL KHOR,2,25.6382,55.6777,Detailed_Mapping
415,AL KHAIRAN FIRST,587,25.6432,55.6827,Detailed_Mapping
416,NAD AL HAMAR,14216,25.6482,55.6877,Detailed_Mapping
421,AL WARQAA FIRST,24679,25.6532,55.6927,Detailed_Mapping
422,AL WARQAA  SECOND,10689,25.2168,55.2828,Strategic_Fallback
423,AL WARQAA THIRD,14728,25.6632,55.7027,Detailed_Mapping
424,AL WARQAA FOURTH ,13452,25.2178,55.2838,Strategic_Fallback
425,AL WARQAA FIFTH ,60,25.218799999999998,55.284800000000004,Strategic_Fallback
431,WADI ALSHABAK ,55,25.2198,55.2858,Strategic_Fallback
501,NAKHLAT JABAL ALI,5,25.6832,55.7227,Detailed_Mapping
502,AL WAJEHAH AL BHARIYAH,4,25.6882,55.7277,Detailed_Mapping
511,HESSYAN FIRST,3492,25.6932,55.7327,Detailed_Mapping
512,HESSYAN SECOND,45,25.6982,55.7377,Detailed_Mapping
513,SAIH SHUAIB 1,9,25.7032,55.7427,Detailed_Mapping
516,JABAL ALI INDUSTRIAL THIRD,2462,25.7082,55.7477,Detailed_Mapping
518,JABAL ALI INDUSTRIAL SECOND,23000,25.7132,55.7527,Detailed_Mapping
521,MADINAT AL MATAAR,2697,25.7182,55.7577,Detailed_Mapping
531,SAIH SHUAIB 2,14491,25.7232,55.7627,Detailed_Mapping
532,SAIH SHUAIB 3,11144,25.7282,55.7677,Detailed_Mapping
533,SAIH SHUAIB 4,11170,25.7332,55.7727,Detailed_Mapping
591,JABAL ALI FIRST,75287,25.7382,55.7777,Detailed_Mapping
592,JABAL ALI  SECOND,1570,25.220799999999997,55.2868,Strategic_Fallback
593,JABAL ALI THIRD,1513,25.7482,55.7877,Detailed_Mapping
594,MENA JABAL ALI,24487,25.7532,55.7927,Detailed_Mapping
597,DUBAI INVESTMENT PARK2,60630,25.7582,55.7977,Detailed_Mapping
598,DUBAI INVESTMENT PARK1,69956,25.7632,55.8027,Detailed_Mapping
599,JABAL ALI INDUSTRIAL FIRST,128975,25.7682,55.8077,Detailed_Mapping
611,BU KADRA,16,25.7732,55.8127,Detailed_Mapping
612,RAS AL KHOR IND. FIRST,2550,25.7782,55.8177,Detailed_Mapping
613,RAS AL KHOR IND. SECOND,2514,25.7832,55.8227,Detailed_Mapping
614,RAS AL KHOR IND. THIRD,21834,25.7882,55.8277,Detailed_Mapping
615,NAD AL SHIBBA SECOND,2389,25.7932,55.8327,Detailed_Mapping
616,NAD AL SHIBBA THIRD,767,25.7982,55.8377,Detailed_Mapping
617,NAD AL SHIBBA FOURTH,3685,25.8032,55.8427,Detailed_Mapping
618,NAD AL SHIBBA FIRST,5948,25.8082,55.8477,Detailed_Mapping
621,WARSAN FIRST,106072,25.8132,55.8527,Detailed_Mapping
622,WARSAN SECOND,1568,25.8182,55.8577,Detailed_Mapping
624,WARSAN FOURTH,8994,25.8232,55.8627,Detailed_Mapping
626,NADD HESSA,38494,25.8282,55.8677,Detailed_Mapping
631,HADAEQ SHEIKH MOHAMMED BIN RASHID,1563,25.8332,55.8727,Detailed_Mapping
643,WADI AL SAFA 2,10519,25.8382,55.8777,Detailed_Mapping
645,WADI AL SAFA 3,9764,25.8432,55.8827,Detailed_Mapping
646,WADI AL SAFA 4,2,25.8482,55.8877,Detailed_Mapping
648,WADI AL SAFA 5,21241,25.8532,55.8927,Detailed_Mapping
664,WADI AL SAFA 6 (ARABIAN RANCHES),18213,25.8582,55.8977,Detailed_Mapping
665,WADI AL SAFA 7,8473,25.8632,55.9027,Detailed_Mapping
671,AL BARSHA SOUTH FIRST,13717,25.1136,55.2019,Detailed_Mapping
672,AL BARSHA SOUTH SECOND,7509,25.1136,55.2019,Detailed_Mapping
673,AL BARSHA SOUTH THIRD,6929,25.1136,55.2019,Detailed_Mapping
674,AL HEBIAH FIRST,10598,25.8682,55.9077,Detailed_Mapping
675,AL HEBIAH SECOND,1523,25.8732,55.9127,Detailed_Mapping
676,AL HEBIAH THIRD,6845,25.8782,55.9177,Detailed_Mapping
677,AL HEBIAH SIXTH,2322,25.8832,55.9227,Detailed_Mapping
681,AL BARSHA SOUTH FOURTH,25974,25.1136,55.2019,Detailed_Mapping
682,AL HEBIAH FOURTH,20611,25.8882,55.9277,Detailed_Mapping
683,AL HEBIAH FIFTH,9748,25.8932,55.9327,Detailed_Mapping
684,AL BARSHA SOUTH FIFTH,7384,25.1136,55.2019,Detailed_Mapping
685,ME'AISEM FIRST,18002,25.8982,55.9377,Detailed_Mapping
686,ME'AISEM SECOND,12,25.9032,55.9427,Detailed_Mapping
711,AL AWEER ONE,4107,25.9082,55.9477,Detailed_Mapping
721,AL AWEER TWO,5236,25.9132,55.9527,Detailed_Mapping
724,ENKHALI,26,25.9182,55.9577,Detailed_Mapping
727,AL WOHOOSH,46,25.9232,55.9627,Detailed_Mapping
731,LEHBAB FIRST,3197,25.9282,55.9677,Detailed_Mapping
735,AL MERYAL,754,25.9332,55.9727,Detailed_Mapping
736,NAZWAH,544,25.9382,55.9777,Detailed_Mapping
811,WARSAN THIRD,13579,25.9432,55.9827,Detailed_Mapping
812,AL ROWAIYAH FIRST,3127,25.9482,55.9877,Detailed_Mapping
813,AL ROWAIYAH SECOND,25,25.9532,55.9927,Detailed_Mapping
814,AL ROWAIYAH THIRD,4429,25.9582,55.9977,Detailed_Mapping
821,MEREIYEEL,1119,25.9632,56.0027,Detailed_Mapping
824,UMM AL DAMAN,283,25.9682,56.0077,Detailed_Mapping
826,LE HEMAIRA,53,25.9732,56.0127,Detailed_Mapping
831,LEHBAB SECOND,1511,25.9782,56.0177,Detailed_Mapping
835,UMM AL MO'MENEEN,309,25.9832,56.0227,Detailed_Mapping
841,MARGHAM,1005,25.9882,56.0277,Detailed_Mapping
845,AL MAHA,193,25.9932,56.0327,Detailed_Mapping
847,UMM ESELAY,204,25.9982,56.0377,Detailed_Mapping
851,REMAH,232,26.0032,56.0427,Detailed_Mapping
857,MARGAB,628,26.0082,56.0477,Detailed_Mapping
861,YARAAH,94,26.0132,56.0527,Detailed_Mapping
891,HATTA,14045,24.8,56.1,Detailed_Mapping
911,UMM NAHAD FIRST,8,26.0182,56.0577,Detailed_Mapping
912,UMM NAHAD SECOND,2,26.0232,56.0627,Detailed_Mapping
913,UMM NAHAD THIRD,1347,26.0282,56.0677,Detailed_Mapping
914,UMM NAHAD FOURTH,4,26.0332,56.0727,Detailed_Mapping
915,AL YUFRAH 1,403,26.0382,56.0777,Detailed_Mapping
916,AL YUFRAH 2,58,26.0432,56.0827,Detailed_Mapping
917,AL MARMOOM,94,26.0482,56.0877,Detailed_Mapping
918,AL YUFRAH 3,4,26.0532,56.0927,Detailed_Mapping
919,AL YUFRAH 4,3,26.0582,56.0977,Detailed_Mapping
921,AL YALAYIS 1,1114,26.0632,56.1027,Detailed_Mapping
922,AL YALAYIS 2,1364,26.0682,56.1077,Detailed_Mapping
923,AL YALAYIS 3,4,26.0732,56.1127,Detailed_Mapping
924,AL YALAYIS 4,8,26.0782,56.1177,Detailed_Mapping
925,AL YALAYIS 5,100,26.0832,56.1227,Detailed_Mapping
931,AL LESAILY,2856,26.0882,56.1277,Detailed_Mapping
941,GRAYTEESAH,55,26.0932,56.1327,Detailed_Mapping
945,AL FAGAA',417,26.0982,56.1377,Detailed_Mapping
951,SAIH AL SALAM,607,26.1032,56.1427,Detailed_Mapping
956,AL HATHMAH,35,26.1082,56.1477,Detailed_Mapping
961,AL SELAL,665,26.1132,56.1527,Detailed_Mapping
967,GHADEER BARASHY,7,26.1182,56.1577,Detailed_Mapping
971,SAIH AL DAHAL,16,26.1232,56.1627,Detailed_Mapping
975,AL O'SHOOSH,0,26.1282,56.1677,Detailed_Mapping
978,SAIH SHUA'ALAH,3,26.1332,56.1727,Detailed_Mapping
981,MUGATRAH,804,26.1382,56.1777,Detailed_Mapping
987,AL LAYAN 1,10,26.1432,56.1827,Detailed_Mapping
988,AL LAYAN 2,0,26.1482,56.1877,Detailed_Mapping
991,HEFAIR,0,26.1532,56.1927,Detailed_Mapping
