school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
Khadija Al Kobra Iranian School for Girls,Al Karama,25.252825,55.307217,Iranian,G1-G12,395.0,2000.0,Iranian Towheed Girls School,0.0681471915698014,BurJuman,0.3739925677797262,AL TWAR FIRST,1.128375922343991,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.3100000000000005,3.0468,63,10,0,0
Kings' Dubai,Umm Suqeim,25.135958,55.196242,UK,FS1-G7,866.0,2004.0,Dubai Kings Private School,0.0584128441620055,FGB,1.559390479947892,AL BARSHAA FIRST,2.5505166700628283,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.2204,48,0,0,0
Latifa School for Girls,Nad Al Sheba,25.149325,55.326118,UK,KG1-G12,626.0,1982.0,Al Futtaim Healthcare Single Person Company LLC - Company Clinic,1.1213201141103462,Creek,7.8488139640607715,BURJ KHALIFA,7.444936651696634,Moderate,Poor,Poor,High,Western Cluster,Excellent,5.0,3.142,0,0,0,0
Little Flowers English School,Hor Al Anz,25.282439,55.336397,Indian(CBSE),KG1-G6,947.0,1984.0,Little Flower English School,0.4390721412316529,Abu Hail,1.2749421057978891,AL QUSAIS SECOND,1.083952707200253,Excellent,Good,Good,Medium,Northern Cluster,Excellent,4.3100000000000005,2.9976000000000003,11,0,0,0
Lycee Francais International School,Dubai Academic City,25.241403,55.312731,French,KG1-G12,1948.0,2005.0,French International Private School,0.0549940281367447,Oud Metha,0.4106542812877484,AYAL NASIR,2.0962920551648447,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2796,58,10,0,0
Lycee Georges Pompidou High School,Dubai Academic City,25.104978,55.395858,French,G1-G12,1756.0,2005.0,Lycee Francais International Georges Pompidou,0.0441666466366001,Creek,13.90700548984606,AL GARHOUD,8.400446035763753,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1672,4,0,0,0
Lycee Georges Pompidou Primary School,Oud Metha,25.233711,55.316025,French,KG1-KG2,252.0,1998.0,Lycee Francais International Georges Pompidou Om,0.0833402448642494,Dubai Health Care,0.7557114223252812,AYAL NASIR,2.534039869154053,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2624,103,10,0,0
Lycee Libanais Francophone Prive,Al Muhaisnah,25.275092,55.410419,French,KG1-G12,962.0,2004.0,United International Pvt. School,0.3526896213822973,Etisalat,2.44630168024941,DUBAI  AIRPORT,5.145324047522442,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.3128,9,0,0,0
Mirdif Private School,Al Mizhar,25.237383,55.437061,US,KG1-G9,747.0,1995.0,Healthhub Plus (Br of Al Futtaim Healthcare Single Person Company LLC),0.0918791285597498,Etisalat,4.111135236351522,AL KHBEESI,5.532566790517318,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2132,23,0,0,0
National Charity School,Al Garhoud,25.238522,55.345831,MOE,G1-G12,5333.0,1984.0,National Charity School Boys,0.0765986584103651,Airport Terminal 1,1.2883140641294868,AL REGA,0.3115290256675029,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6968,21,0,2,60570
New Academy School,Al Raffa,25.250636,55.284283,US,KG1-G12,995.0,1990.0,New Academy School,0.036568052945983,Abu Dhabi Commercial Bank,1.5570654124528451,AL TWAR FIRST,1.5899841131101695,Excellent,Good,Good,High,Northern Cluster,Excellent,4.4,3.0448000000000004,19,0,0,0
New Indian Model School,Al Garhoud,25.237008,55.347017,Indian(CBSE),KG1-G12,6973.0,1980.0,New Indian Model School Clinic,0.0628856929254178,Airport Terminal 1,1.3833994219144508,AL REGA,0.2830724823203083,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6924,16,0,3,60584
New World Private School,Al Twar ,25.265406,55.374644,MOE,KG1-G12,1854.0,2005.0,Mnm Optics Llc Branch,0.3317134697170045,Dubai Airport Free Zone,0.5042431372657136,DUBAI  AIRPORT,1.6542639468069935,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.0904000000000003,20,10,0,0
Nibras International School,Green Community,25.000017,55.171757,US,KG1-G12,854.0,2005.0,Al Nibras Private School,0.0595808166933058,Station R74,1.7278629398541063,AL BARSHAA FIRST,12.989702417654982,Excellent,Good,Poor,High,Southern Cluster,Excellent,5.0,3.348,7,0,0,0
North American International School,Al Mizhar,25.236083,55.432139,US,KG1-G12,499.0,2007.0,North American International School L.L.C,0.0743612822826409,Etisalat,3.759992806134584,AL KHBEESI,5.115222733552028,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2304,28,0,0,0
GEMS Our Own English High School,Al Warqaa ,25.193874,55.426669,Indian(CBSE),KG1-G12,10169.0,1972.0,Gems Our Own English High School,0.0483707187122662,Rashidiya,5.391673423107701,AL HAMRIYA PORT,1.2435238406745115,Excellent,Poor,Good,Medium,Eastern Cluster,Excellent,4.4,2.8032000000000004,1,0,0,0
Our Own High School - Dubai,Al Warqaa,25.190892,55.400567,Indian(CBSE),G1-G12,4734.0,2005.0,VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,0.4124959177462915,Rashidiya,4.473813695256226,PORT SAEED,0.8801715549099883,Excellent,Moderate,Excellent,Medium,Eastern Cluster,Excellent,4.04,2.6108,14,0,2,15543
GEMS Our Own Indian School,Al Quoz,25.171781,55.260647,Indian(CBSE),KG1-G12,3643.0,1991.0,Our Own Indian School. School Clinic,0.0468828641986121,Business Bay,2.16770905962591,BURJ KHALIFA,3.1470723696748637,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1952,8,0,0,0
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,Pakistani,KG1-G12,1689.0,1973.0,Pakistan Education Acedemy,0.0073506630485379,Oud Metha,0.2205757304098616,AYAL NASIR,1.7427265436436608,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.1092000000000004,64,10,0,0
Philadelphia Private School,Al Muhaisnah,25.278906,55.402194,US,KG1-G12,1402.0,2006.0,Philadelphia Private School,0.0918511689343554,Al Qusais,2.335355685970523,DUBAI  AIRPORT,4.682241081857868,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.1504,17,0,0,0
Pristine Private School,Al Nahda,25.293458,55.375039,UK,FS1-G12,1529.0,1992.0,Pristine Pvt. School,0.0324879229735242,Stadium,2.204924811256234,AL QUSAIS IND. FOURTH,3.1403752345910467,Excellent,Moderate,Moderate,High,Northern Cluster,Excellent,4.7,3.1696,31,0,0,0
Queen International School,Hor Al Anz ,25.283108,55.348792,UK,FS1-G11,1179.0,1998.0,Queen International School,0.0314346295703642,Al Qiyadah,0.7249382464585375,AL QUSAIS THIRD,1.968962241621072,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.0848000000000004,23,20,0,0
Raffles International School - South Campus,Umm Suqeim,25.136467,55.194503,UK,FS1-G7,1267.0,2008.0,Senses Residential and Day Care for Special Needs,0.1622279874833478,FGB,1.7299240330082244,AL BARSHAA FIRST,2.6495002852929788,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.2104,42,0,0,0
Raffles World Academy,Umm Suqeim,25.14035,55.196792,UK/IB,KG1-G12,1821.0,2008.0,Raffles World Academy Br Of Raffles International School L L C,0.0771646271542766,FGB,1.8832012364175168,AL BARSHAA FIRST,3.0185882848265866,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.2004,61,0,0,0
Rajagiri International School,Al Warqaa ,25.186925,55.402725,Indian(CBSE),KG1-G8,1339.0,2008.0,International Academic School,0.1348314965438196,Rashidiya,4.952204033353096,PORT SAEED,0.9426267120179352,Excellent,Moderate,Excellent,Medium,Eastern Cluster,Excellent,4.04,2.592,12,0,1,13551
Rashid School for Boys,Nad Al Sheba,25.181331,55.313416,UK,KG1-G12,622.0,1986.0,Healthagon Rehabiltation Center L.L.C,0.4376137968020973,Creek,4.908991508143265,BURJ KHALIFA,4.30415978574616,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.0292,4,0,0,0
Regent International School,Emirates  Hills,25.088125,55.173753,UK,FS1-G12,1414.0,1992.0,Jumairah International Nursery,0.033284374066094,Dubai Internet City,1.5534509643856451,AL BARSHAA FIRST,4.007119981118024,Excellent,Good,Moderate,High,Southern Cluster,Excellent,4.7,3.2248,6,0,0,0
Repton School Dubai,Nad Al Sheba,25.145306,55.378833,UK/IB,FS1-G12,2060.0,2007.0,Repton School Fz-LLC,0.0693224338369643,Creek,9.119182002007651,AL WAHEDA,6.0743328932834455,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1668,3,0,0,0
Russian International School,Al Muhaisnah,25.282619,55.404694,Russian,KG1-G11,426.0,1997.0,Russian Intenational School,0.0288994528511203,Al Qusais,2.814827991793085,DUBAI  AIRPORT,5.136757091705322,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.3044,16,0,0,0
Salman Al Farsi Iranian School,Al Qusais,25.280592,55.370039,Iranian,G1-G12,438.0,2000.0,WOODLEM PARK SCHOOL LLC,0.1808914785359479,Al Nahda,0.8167995578720095,DUBAI  AIRPORT,3.092357987174475,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.258,32,20,0,0
School of Modern Skills,Al Muhaisnah,25.244356,55.416036,US,KG1-G12,1518.0,2006.0,Modern Skills School,0.0590409179765323,Etisalat,1.9064448404701184,ABU HAIL,4.795239050442015,Excellent,Good,Moderate,High,Eastern Cluster,Excellent,4.7,3.1516,7,0,0,0
Sharjah American International School,Al Warqaa,25.185614,55.403222,US,KG1-G12,1563.0,2005.0,International Academic School,0.0956880462001463,Rashidiya,5.105658124979419,PORT SAEED,1.0280220973366196,Excellent,Poor,Good,Medium,Eastern Cluster,Excellent,4.4,2.8024,12,0,0,0
St. Mary's Catholic High School,Umm Hurair,25.240369,55.317628,UK,KG2-G11,1928.0,1973.0,English Language Private School,0.0877170716279743,Oud Metha,0.4034294877594688,AYAL NASIR,1.8310214932543023,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.0992,76,10,0,0
Star International School - Al Twar,Al Twar,25.259086,55.385236,UK,FS1-G8,528.0,2000.0,British Orchard Nursery Al Twar,0.2941328383285713,Al Qusais,0.4567326741505792,DUBAI  AIRPORT,2.1029404156231557,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2732,10,10,0,0
Star International School - Mirdif,Mirdif,25.223019,55.417214,UK,FS1-G5,469.0,2008.0,EVERYOUNG CLINIC LLC,0.1464217387740876,Rashidiya,2.73680106478173,AL KHBEESI,3.078005614623413,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.0984,13,0,0,0
Horizon International Schoool,Umm Al Sheif,25.132825,55.204881,UK,FS1-G9,861.0,2008.0,Odyssey Nursery LLC (Branch),0.2998418665668902,FGB,0.743541632614425,AL BARSHAA FIRST,2.1586860854267256,Excellent,Excellent,Moderate,High,Central Cluster,Excellent,4.7,3.2556,55,10,0,0
The Central School,Al Nahda,25.291533,55.375722,Indian(CBSE),KG1-G12,3292.0,1981.0,The Central School,0.0206767551475705,Stadium,2.0863474491530263,AL QUSAIS IND. FOURTH,3.3407659441881434,Excellent,Moderate,Moderate,High,Northern Cluster,Excellent,4.7,3.1796,34,0,0,0
The Children's Garden,Al Barsha ,25.094577,55.211878,Kindergarten,KG1-KG2,45.0,2012.0,Redwood Early Learning Center Of Excellence BR Kids First Group LLC.,0.0480565370778712,Mashreq,3.0838185620222567,AL BARSHAA FIRST,2.341740146532741,Excellent,Moderate,Moderate,High,Southern Cluster,Excellent,4.7,3.1312,5,0,0,0
The City School International,Nad Al Hamar,25.193606,55.388731,UK,FS1-G10,753.0,1989.0,The City School International Private,0.0247769253092437,Rashidiya,4.079172697543499,HOR AL ANZ,1.2804521276397505,Excellent,Moderate,Good,Medium,Eastern Cluster,Excellent,4.4,2.8520000000000003,10,0,0,0
The Elite English School,Al Waheda,25.288842,55.340475,Indian(CBSE),KG1-G12,1698.0,1993.0,The Elite English School,0.0215502134812522,Abu Hail,1.6205696127313194,AL QUSAIS THIRD,0.9196951408454248,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.95,2.772,7,0,1,7162
The English College - Dubai,Al Safa,25.16905,55.237469,UK,G6-G12,581.0,1992.0,The English College,0.0579368159459316,Noor Bank,1.7343241292416205,BURJ KHALIFA,4.858813919640491,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.216,21,0,0,0
The Indian Academy,Al Muhaisnah,25.257534,55.386361,Indian(ICSE),KG1-G7,719.0,2012.0,British Orchard Nursery Al Twar,0.493398312179733,Al Qusais,0.580808281292792,DUBAI  AIRPORT,2.164863948059826,Excellent,Excellent,Moderate,High,Eastern Cluster,Excellent,4.7,3.2644,7,10,0,0
The Indian High School,Oud Metha,25.240542,55.315133,Indian(CBSE),G5-G12,5896.0,1961.0,The Indian High School Clinic,0.0174338087254843,Oud Metha,0.3572399335285451,AYAL NASIR,1.9823208628913749,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.1024000000000003,79,10,0,0
The Indian High School - Branch,Al Garhoud,25.248436,55.340581,Indian(CBSE),KG1-G4,4195.0,1988.0,The Indian High School Clinic(Branch),0.1159920988756215,GGICO,0.1301958817727926,AL MURAR,0.5035987008333825,Excellent,Excellent,Excellent,Medium,Northern Cluster,Excellent,4.04,2.896,44,10,2,89060
The Indian International School,Dubai Silicon Oasis,25.115873,55.375965,Indian(CBSE),KG1-G7,1858.0,2011.0,The Indian International School(Dso Branch),0.1653079546800893,Creek,12.051602683334218,AL MAMZER,8.764051319943224,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1652,14,0,0,0
The International School of Choueifat - DIP,Dubai Investment Park,24.983802,55.15553,SABIS (UK/US),KG1-G10,2190.0,2012.0,Karama Medical Centre(Br Dip),0.3436909859843426,Station R75,0.6449324616312266,AL BARSHAA FIRST,15.169963420153252,Excellent,Excellent,Poor,High,Southern Cluster,Excellent,5.0,3.3876,3,10,0,0
The International School of Choueifat - Dubai,Al Sufouh,25.107181,55.171625,SABIS (UK/US),KG1-G12,4040.0,1994.0,The International School Of Choueifat Clinic,0.0388176611332409,Dubai Internet City,0.6057379028942793,AL BARSHAA FIRST,3.13072099273542,Excellent,Excellent,Moderate,High,Southern Cluster,Excellent,4.7,3.2704,14,10,0,0
The Kindergarten Starters,Al Garhoud,25.247964,55.339353,Indian(CBSE),KG1-G5,5511.0,1982.0,The Indian High School Clinic(Branch),0.101289441292697,GGICO,0.183710341945827,AL MURAR,0.3915337685248317,Excellent,Excellent,Excellent,Medium,Northern Cluster,High,3.8,2.7496,43,10,2,89060
The Millennium School,Al Qusais,25.286631,55.367103,Indian(CBSE),KG1-G12,2954.0,2000.0,Al Maaref Private School,0.0855904861654717,Stadium,1.1278977049671777,AL QUSAIS IND. SECOND,3.068091164919954,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.2444,35,0,0,0
The Oxford School,Al Muhaisnah,25.281228,55.402192,UK,FS1-G12,2128.0,1988.0,The Oxford School,0.0289538006180272,Al Qusais,2.540238816434383,DUBAI  AIRPORT,4.844592133702622,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.1416,17,0,0,0
The Philippine School,Al Twar,25.244733,55.393747,Philippine,KG1-G10,1975.0,2008.0,Deira Pvt School,0.4755733410576671,Etisalat,1.336957120645766,DUBAI  AIRPORT,2.9988752377382557,Excellent,Good,Moderate,High,Eastern Cluster,Excellent,4.7,3.2084,2,0,0,0
Sheikh Rashid Bin Saeed Islamic Institute,Al Satwa,25.215886,55.269667,MOE,G6-G12,120.0,2003.0,Morfologie Slim Bods Slimming Therapy Center,0.3318970516376752,Financial Centre,0.8038579863972274,JUMEIRA BAY,1.2379655784685906,Excellent,Excellent,Good,High,Central Cluster,Excellent,4.3100000000000005,3.022,41,10,0,0
The School of Research Science,Al Qusais,25.20083,55.439205,UK,FS1-G12,2699.0,2003.0,The School Of Research Science,0.082619221166712,Rashidiya,5.831450569238346,AL WAHEDA,2.59367670878532,Excellent,Poor,Moderate,Medium,Eastern Cluster,Excellent,4.7,2.9828,2,0,0,0
The Sheffield Private School,Al Qusais,25.293372,55.385719,UK,FS1-G11,1643.0,2004.0,Sheffield Private School,0.0268445220598742,Al Nahda,2.7760033181177826,AL QUSAIS IND FIFTH,3.9439770379446313,Excellent,Moderate,Moderate,High,Northern Cluster,Excellent,4.7,3.1424,15,0,0,0
The Westminster School,Al Qusais,25.283053,55.370633,UK,KG1-G12,5034.0,1988.0,The Westminster School(Br Of Gems Wellington Academy FZE) Dubai Branch,0.0273490740941856,Stadium,1.08141124391022,DUBAI  AIRPORT,3.3719335947578046,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.2476,36,0,0,0
The Winchester School,Jebel Ali,25.040094,55.120922,UK,FS1-G12,3617.0,2003.0,The Winchester School,0.0562451003204563,Ibn Battuta,0.8128429412575223,AL BARSHAA FIRST,11.546415745086662,Excellent,Excellent,Poor,High,Southern Cluster,Excellent,5.0,3.42,11,10,0,0
Towheed Iranian School for Boys,Al Quoz,25.170393,55.262097,Iranian,KG1-G12,798.0,1958.0,Our Own Indian School. School Clinic,0.187287569910717,Business Bay,2.328060504262284,BURJ KHALIFA,3.2276644392582843,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1852,8,0,0,0
Towheed Iranian School for Girls,Al Karama,25.252983,55.306842,Iranian,G1-G12,279.0,1958.0,Iranian Towheed Girls School,0.0322756250947036,BurJuman,0.3334370678640572,AL TWAR FIRST,1.0870938646452264,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.3100000000000005,3.0496000000000003,65,10,0,0
United International Private School,Al Muhaisnah,25.277289,55.408747,Philippine,KG1-G10,1829.0,1992.0,United International Pvt. School,0.0564927602132692,Etisalat,2.618441142614728,DUBAI  AIRPORT,5.121957254423758,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.3096,11,0,0,0
Universal American School,Ras Al Khor,25.221422,55.365489,US/IB,KG1-G12,1402.0,2005.0,Universal American School-Dubai Festival City,0.1729073826021993,Emirates,2.183707592281099,AL MUTEENA,0.4016743927814768,Excellent,Moderate,Excellent,Medium,Northern Cluster,High,3.8,2.6524,2,0,2,70932
Uptown School,Mirdif,25.210243,55.423257,IB,KG1-G10,1222.0,2012.0,UPTOWN INTERNATIONAL SCHOOL (BR OF TAALEEM MANAGEMENT(LLC)),0.1675083151109496,Rashidiya,3.9161609460780658,PORT SAEED,2.3739949558276514,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.0372,6,0,0,0
Delhi Private School Academy,Dubai Academic City,25.105576,55.402396,Indian(ICSE),KG1-G7,321.0,2013.0,German International School Dubai,0.2605910431798237,Rashidiya,13.905844364197684,AL GARHOUD,7.944431566885132,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.164,4,0,0,0
GEMS New Millennium School ,Al Khail ,25.123782,55.257187,Indian(CBSE),KG1-G7,839.0,2013.0,Gems New Millennium School Alkhail,0.0379442227785718,Noor Bank,4.5772636213159466,AL BARSHAA FIRST,5.680231924244665,Excellent,Moderate,Poor,High,Central Cluster,Excellent,5.0,3.1916,4,0,0,0
Sabari Indian School ,Al Waheda,25.289783,55.341133,Indian(CBSE),KG1-G6,437.0,2013.0,Sabari Indian School LLC,0.0368446003608568,Abu Hail,1.6973459316245176,AL QUSAIS THIRD,0.929069235823399,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.95,2.768,7,0,2,16531
Springdales School,Al Quoz,25.149543,55.253366,Indian(CBSE),KG2-G8,899.0,2013.0,Springdales School LLC,0.0273767220198996,Noor Bank,2.594694941960467,BURJ KHALIFA,5.706336909927262,Excellent,Moderate,Poor,High,Central Cluster,Excellent,5.0,3.3352,20,0,0,0
Victory Heights Primary School,Dubai Sports City,25.035148,55.222489,UK,FS1-G5,515.0,2013.0,Victory Heights Primary School,0.0535234420793861,Station R73,6.262998449066307,AL BARSHAA FIRST,8.966537670129304,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1672,9,0,0,0
Foremarke School,Dubailand,25.079423,55.242616,UK,FS1-G3,191.0,2013.0,REPTON AL BARSHA FZ-LLC ,0.0625325716165156,Mall of the Emirates,6.296449923176924,AL BARSHAA FIRST,5.5903803162298304,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1748,5,0,0,0
International Concept for Education,Meydan,25.153909,55.298824,French/IB,KG1-G2,159.0,2013.0,International Concept Education - School Clinic,0.1136930619503453,Business Bay,5.6745507423633255,BURJ KHALIFA,5.404913506443044,Excellent,Poor,Poor,High,Central Cluster,Excellent,5.0,3.186,2,0,0,0
GEMS Wellington Academy - Al Khail,Al Khail ,25.123129,55.254493,UK,FS1-G7,820.0,2013.0,Gems Wellington Academy Al Khail,0.0309373484375759,Noor Bank,4.469935802966626,AL BARSHAA FIRST,5.4000126006268,Excellent,Moderate,Poor,High,Central Cluster,Excellent,5.0,3.2048,4,0,0,0
Oasis School,Al Safa,25.178509,55.238012,UK,KG1-G5,124.0,2013.0,Jumairah International Nursery- Branch,0.1909786533820255,Business Bay,2.6642720072031265,BURJ KHALIFA,4.210185920947327,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1692,40,0,0,0
GEMS International School - Al Khail,Al Khail ,25.122362,55.255576,IB,KG1-G8,567.0,2013.0,Gems International School Al Khail LLC,0.0179261806536519,Noor Bank,4.603054739230393,AL BARSHAA FIRST,5.491215328884473,Excellent,Moderate,Poor,High,Central Cluster,Excellent,5.0,3.1948,4,0,0,0
Credence High School ,Al Quoz,25.152316,55.249429,Indian,KG1-G6,348.0,2014.0,Credence High School LLC,0.0705327894534521,Noor Bank,2.1395189930882785,BURJ KHALIFA,5.587800699996027,Excellent,Moderate,Poor,High,Central Cluster,Excellent,5.0,3.356,28,0,0,0
Bilva Indian School ,Al Qusais,25.277453,55.366716,Indian,KG1-G6,381.0,2014.0,Amity School LLC,0.1084744036765001,Stadium,0.5178779500168156,DUBAI  AIRPORT,2.7111616665695006,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2736,18,20,0,0
GEMS FirstPoint School,Dubai land,25.089952,55.376415,UK,FS1-G7,308.0,2014.0,The Aquila School Owned By Shaikh Mohammed Makto,0.6969623664806405,Creek,14.831110607640156,AL GARHOUD,10.943909132338952,Good,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1568,3,0,0,0
Kings Nad Al Sheba,Nad Al Shibba,25.152316,55.380192,UK,FS1-G5,67.0,2014.0,Kings School Nad Al Sheba,0.3051922680711608,Creek,8.492144840502796,PORT SAEED,5.395796514262258,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1632,3,0,0,0
Ontario International Canadian School ,Mirdif,25.221404,55.426068,Canadian,KG1-G6,109.0,2014.0,Dr Inas Nutrition Center,0.2234975213578329,Rashidiya,3.6420937851108177,AL KHBEESI,3.4680648280996214,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.0536,21,0,0,0
Nord Anglia International School Dubai,Al Barsha,25.062004,55.227242,UK,FS1-G7,550.0,2014.0,Nord Anglia International School L L C,0.2036335367406622,Mashreq,6.91722954599255,AL BARSHAA FIRST,6.279221237432001,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1728,3,0,0,0
Kings' Al Barsha,Al Barsha,25.086221,55.251102,UK,FS1-G8,546.0,2014.0,Kings Al Barsha School,0.3957989470313048,FGB,6.261399344778204,AL BARSHAA FIRST,5.815007153496394,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1656,2,0,0,0
Gems Metropole School,Motor City,25.042429,55.243657,UK,FS1-G7,934.0,2014.0,Gems Metropole School,0.1557819357840563,Station R73,8.541989736182016,AL BARSHAA FIRST,8.961863410272425,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1656,16,0,0,0
Safa Community School,Dubai land,25.061716,55.248441,UK,FS1-G7,101.0,2014.0,Safa Community School,0.0149093334716696,Mall of the Emirates,8.194971177541007,AL BARSHAA FIRST,7.433112203595747,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1676,7,0,0,0
Dovecote Green Primary ,Dubai Investment Park,24.997085,55.155938,UK,KG1,4.0,2014.0,Dove Green Private School LLC,0.0638651727205476,Station R74,0.9686867875142836,AL BARSHAA FIRST,13.758267724146236,Excellent,Excellent,Poor,High,Southern Cluster,Excellent,5.0,3.3844,6,10,0,0
Capital School,Al Qusais,25.284385,55.371958,UK,FS1-G5,264.0,2014.0,Capital School,0.070792240394527,Al Nahda,1.2632510355752165,DUBAI  AIRPORT,3.540684755009644,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.2384,35,0,0,0
Swiss International Scientifc School ,Health Care City,25.219684,55.32988,IB /Swiss ,KG1-12,,2015.0,Fifa Sport Medical Center Of Excellence Dubai LLC,0.419217315853045,Al Jadaf,0.7015389468197258,AL REGA,2.8680740575137134,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2596,3,20,0,0
Hartland Internaitnal School ,Meydan,25.177947,55.274873,UK/IB,KG1-13,,2015.0,G.M.C.K.S.Pranic Energy Healing Centre,0.2637717036900869,Business Bay,2.076464656580963,BURJ KHALIFA,2.141364909642941,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.196,17,0,0,0
St Mary High Catholic School -branch,Muhaisana,25.28038,55.40825,UK,KG1-13,,2015.0,ST MARY HIGH SCHOOL MUHAISNAH L.L.C,0.0238140767014609,Al Qusais,2.871605502420344,DUBAI  AIRPORT,5.2695184383654246,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2976,11,0,0,0
Dubai British School - Jumairah Park ,Jumairah Park,25.298406,55.451661,UK,KG1-13,,2015.0,Dr. Ismail Medical Center(Br Muhaisanah),3.6189396715420257,Etisalat,7.0317552156815815,AL MEZHAR FIRST,8.484402364513365,Poor,Poor,Poor,High,Eastern Cluster,Excellent,5.0,3.106,0,0,0,0
Ranches Primary School ,Arabian Ranches,25.031625,55.270907,UK,FS1 -G6,,2015.0,Ranches Nursery,0.2391461717879817,Station R73,10.945471777503997,AL BARSHAA FIRST,11.462638852114171,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.164,7,0,0,0
